연번,사업자명,사업자등록번호,업종명(대분류),소재지
7762,큐에스엔지니어링,1208643267,"전문, 과학 및 기술 서비스업",서울 강남구 헌릉로570길 32-1 (세곡동)QS0빌딩 5층
7763,캐비트론,3058165154,제조업,대전 유성구 죽동로 161 (죽동)
7764,씨엔루브,5058155130,제조업,울산 울주군 온산읍 화산로 182 
7765,이앤에스티,1428118462,"전문, 과학 및 기술 서비스업","경기 용인시 수지구 디지털벨리로 81 4층 (죽전동, 다우기술)"
7766,삼부기술,1208101409,"전문, 과학 및 기술 서비스업",경기 안양시 동안구 학의로 268 메가밸리 604호 (관양동)
7767,에어론,3178118616,제조업,"충청북도 음성군 삼성면 대덕로 161 (삼성면, 제가,나,라,마동)"
7768,솔텍인포넷,1068604045,도매 및 소매업,"서울특별시 영등포구 당산로41길 11 2층 210호 (210호(당산동4가,당산에스케이브이1센터))"
7769,삼오전기,4188129245,제조업,전북 김제시  하공로 174 (흥사동)
7770,한서씨앤에프,1268626761,제조업,경기 광주시 초월읍 산수로682번길 39 
7771,태성이엠씨,1308648804,제조업,인천광역시 계양구  서운산단로3길 13 (서운동) 3층
7772,터보맥스,3058185413,제조업,충청북도 청주시 흥덕구 오송읍 오송생명9로 208 
7773,대명테크,6218179318,제조업,부산 강서구 과학산단2로3번길 74 (지사동)
7774,영신특수강,3128655265,제조업,충청남도 천안시동남구 수신면 발산4길72 
7775,용진,6138146081,제조업,경남 진주시 문산읍 동부로 902 
7776,MG전자,1238146934,제조업,경기 평택시 청북읍 청북서로 23-1 
7777,해원에프엠,5038191256,제조업,경북 고령군 다산면 다산산단2길 10-76 
7778,비바젠,1298157860,도매 및 소매업,경기 성남시 중원구 둔촌대로457번길 27 우림라이온스밸리1차 6층 618호 (상대원동)
7779,덕산이엔지,1748600834,제조업,경남 김해시 진영읍 하계로240번길 103 (진영읍)
7780,루테크,1298652609,제조업,경기 안산시 단원구 첨단로 691 (초지동)
7781,대지개발,3128102837,제조업,충남 천안시 서북구 성환읍 신방1길 38-12 (대지개발(주))
7782,우성이엔디,1248609688,제조업,경기 오산시 큰말길 15-5 (세교동)
7783,아로마뱅크,1318196172,제조업,"인천 남동구 함박뫼로377번길 154 (남촌동, 34블록 6로트)"
7784,에이텍,5138153360,제조업,경북 칠곡군 왜관읍 2산업단지2길 188-1 
7785,대명,6088122317,제조업,경상남도 창원시마산회원구 자유무역4길 6 
7786,도은,1148146527,제조업,경기 광주시 도척면 다람로57번길 12-17 
7787,볼트마이크로,1068667661,정보통신업,"서울특별시 용산구  한강대로62길 41 (한강로1가, 의성빌딩 2층)"
7788,로나스코스메틱,2048194870,도매 및 소매업,서울 성북구 한천로 553 3층 (석관동)
