연번,회사명,대표자명,업종,지역,확인서기간만료일
417,아이솔라에너지,오규환,기타,서울,2024-08-31
418,엘티씨,최호성,화학,경기,2024-08-31
419,동성정밀,윤대완,섬유,경기,2024-08-31
420,텔라움,"김형엽, 이진희, 김영일(각자대표)",정보통신,경기,2024-08-31
421, 에이피테크,박찬봉,전기전자,경기,2024-08-31
422,유비더스시스템,윤승식,S/W,서울,2024-08-31
423,지엠텍,박광선,건설,경북,2024-08-31
424,경성기공,유상호,기계금속,경기,2024-08-31
425,광진기계,장경환,기계금속,전북,2024-08-31
426,로드코리아,정철기,서비스,경기,2024-08-31
427,바이오앤텍,"권태균, 유상하(각자대표)",화학,경기,2024-08-31
428,알지오기술,이충호,건설,경기,2024-08-31
429,에스엠트로닉스,여인구,정보통신,경기,2024-08-31
430,동양산전,이상희,건설,강원,2024-08-31
431,다우델타,오재규,기계금속,부산,2024-08-31
432,이지팜,진교문,S/W,경기,2024-08-31
433,한성더스트킹,"최경채, 한정실(각자대표)",환경,경기,2024-08-31
434, 에스켐,김동욱,화학,세종,2024-08-31
435, 진켐,"우진석,허남",바이오,대전,2024-08-31
436,동방라이팅,박태호,기타,경기,2024-09-01
437,와이에스더블유,김미자,기계금속,경기,2024-09-01
438,우리정보기술,구용권,정보통신,광주,2024-09-01
439,파이지노믹스,황재국,바이오,경기,2024-09-01
440,해원에스비엠,최영삼,기타,광주,2024-09-01
441,에코정보,안정업,기타,경기,2024-09-01
442,유창스틸산업,김미정,기계금속,경남,2024-09-01
443,한성산기,백대준,전기전자,전북,2024-09-01
444,셈앤텍,석대원,정보통신,서울,2024-09-01
445,제일시스템,전광탁,정보통신,부산,2024-09-01
446,도일인텍,윤보식,기타,경기,2024-09-01
447,디에이텍,박광희,전기전자,인천,2024-09-01
448,삼화제작소,박문성.정승균.김경옥,기계금속,인천,2024-09-01
449,대우석도,황승연,전기전자,충북,2024-09-02
450,썬프리시즌,박정래,기계금속,부산,2024-09-02
451, 엘엔에스,황순일,전기전자,충북,2024-09-02
452, 제주에프앤씨,김윤희,식품,제주,2024-09-02
453,리키아지에스,강성구,전기전자,부산,2024-09-02
454,우석엔프라,고재영,기계금속,인천,2024-09-02
455,지니스 ,김상도,전기전자,충남,2024-09-02
456,승진,이제관,화학,충북,2024-09-02
457,신송식품,신유식,식품,서울,2024-09-02
458,싸이언,이윤숙,정보통신,울산,2024-09-02
459,엔텍인더스트리,정희철,기계금속,경북,2024-09-02
460,필스톤,김성협,화학,전남,2024-09-02
461,영호정밀,김영문,기계금속,부산,2024-09-02
462,스타우프코리아,김명성,기계금속,부산,2024-09-02
463,진흥공업,박상구,기계금속,울산,2024-09-02
464,혁신정보기술,김상현,정보통신,서울,2024-09-03
465,성진테크,문용규,전기전자,경기,2024-09-03
466,아이티씨,명관식,전기전자,강원,2024-09-03
467,에스엠하이텍,이용구,기계금속,경기,2024-09-03
468,영천씰테크,위세황,기타,경기,2024-09-03
469,한국나노정밀,박중관,기계금속,경기,2024-09-03
470,신성금형,류정열,기계금속,경기,2024-09-03
471, 디엠케이,유승명,전기전자,충남,2024-09-03
472,제이월드인터내셔널,김정원,기타,경기,2024-09-03
473,포렉스,정해영,기계금속,경남,2024-09-03
474,한국엔지니어링,장성호,기계금속,경남,2024-09-03
475,한일공영,최동훈,건설,서울,2024-09-03
476,글로텍,황희석,S/W,서울,2024-09-03
477,남전사,정난권,전기전자,경남,2024-09-03
478,대성파인텍,김병준,기타,경남,2024-09-03
479,동일브레이징,권태인,기계금속,경기,2024-09-03
480,디씨엠,이재서,기계금속,경기,2024-09-03
481,디에스나이키,김준홍,서비스,서울,2024-09-03
482,미르기술,박찬화,전기전자,경기,2024-09-03
483,미주,곽한용,서비스,전남,2024-09-03
484,서린바이오사이언스,"황을문, 강미옥(각자대표)",바이오,경기,2024-09-03
485,성진포머,손성태,기계금속,대구,2024-09-03
486,세일하이텍,김보근,화학,충북,2024-09-03
487,스파이어테크놀로지,강군화,S/W,대구,2024-09-03
488,아이티젠,이용석,S/W,서울,2024-09-03
489,알파플러스,황도원,기계금속,충남,2024-09-03
490,에이비프로바이오,양진상,기계금속,대구,2024-09-03
491,우성정공,"박화석, 박웅서",기계금속,광주,2024-09-03
492,우성케미칼,"이병출,박병욱",화학,경북,2024-09-03
493,인텍에프에이,최기수,전기전자,경기,2024-09-03
494,중외정보기술,이정하,S/W,서울,2024-09-03
495,케이사인,"구자동, 최현철",S/W,경기,2024-09-03
496,케이씨이아이,고현준,S/W,서울,2024-09-03
